firm_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
AE*Z00061201,-0.0123250205,-0.0041897036,-0.4162494,0.032287695,0.015034801,0.008483715,-0.008145168,0.014454197,0.002936982,-0.00054558367,0.008979084,0.022048797,-0.020918481,0.023340337,0.015508613,-0.025337074,0.00410206,-0.01340089,0.016765267,-1.2718067,0.004695274,-0.01814875,-0.008077502,-0.0027701203,-0.008090162,-0.0148912445,0.0049204268,0.0028323159,0.0010698214,-0.041658316,0.004965907,-0.015269454,-0.014649725,-0.015174311,-0.7006756,-0.02180145,0.017828891,-0.008108547,-0.01812771,0.011699851,-0.007043357,-0.0074947514,0.013001125,0.009042701,-0.0058543934,-0.010034581,-0.02102147,0.010762718,0.021477863,0.008724568,0.0036895908,-0.0018512905,0.0029368848,-0.0043013087,0.0031569712,0.014340512,0.012104694,0.0015329644,-0.013738066,-0.0038583092,0.01354728,0.0051861703,-0.011887763,0.008394735
AE*Z00268686,-0.009923379,-0.021894012,-0.3908938,0.02226656,0.008948672,0.0068256333,-0.0023176372,-0.008384973,0.0016279418,-0.011128869,-0.00032155006,0.0057628844,-0.012001574,0.010910086,0.0058351196,0.008271262,-0.00356856,0.017670542,0.014266981,0.53792554,0.00729285,0.012173163,-0.014116745,-0.006054924,-0.012208494,-0.008408438,-0.0150354095,0.0037485287,0.0066454075,-0.12766632,-0.008585157,-0.038305495,-0.029100627,0.015382983,-0.83078736,-0.017065443,-0.0042070206,-0.033161372,-0.0067600682,0.004521193,0.016887493,0.0060115736,0.0003936179,0.0144553725,0.0032519093,-0.032455012,-0.024591798,0.0066584013,0.02983858,0.0057562324,0.011263743,-0.01097763,0.0015287325,-0.017959919,0.012121137,-0.010284271,0.033504177,-0.028456138,-0.01685752,0.016409837,-0.01633658,0.014863543,0.0032691434,-0.014039925
AE0000001238,-0.018731436,-0.015274378,-0.007649079,0.034243472,-0.0031521143,0.014697656,-0.01983565,-0.03626328,0.008343827,0.0020964555,-0.010500571,0.010771686,-0.0014822371,-0.020457186,0.0038382523,0.0058277547,0.01091096,0.058679357,0.022808403,0.2409226,-0.01101388,0.027172027,0.010577969,-0.020562928,-0.024349254,-0.018348493,0.009922631,-0.021760399,-0.012584675,-0.015642278,-0.03393974,-0.05493677,-0.019368993,0.05125583,-0.79269224,-0.014579339,0.00094231404,-0.04865934,-0.0036325008,-0.026291111,0.029252972,0.008298428,0.0023263171,0.0066781417,0.024716046,-0.054183282,-0.01944691,0.053580884,0.03491891,0.0059417854,0.0035808124,-0.00048494153,0.0001475066,0.010321165,0.03896979,0.017666325,0.006616883,-0.050457656,0.0009816885,0.021977782,-0.026418535,0.022635102,0.013344623,-0.03221657
AE0000003829,-0.017915422,0.004631445,-0.04870139,0.041560076,0.018891707,0.0005107969,-0.0031377822,0.02176946,-0.009171764,-0.008324172,0.010182526,0.016023492,-0.016746877,0.020802937,0.0067873597,-0.019847564,0.010289958,0.0005882047,0.028354216,-1.4599047,-0.0008925386,-0.016581181,-0.009151783,-0.0033454709,-0.014812413,-0.018022526,-0.006864354,0.012616812,0.0096007455,-0.11646591,-0.00012350269,-0.010984565,-0.005891502,-0.0022852123,-0.74592626,-0.026933763,0.019572837,-0.011159718,-0.016831435,0.016993757,-0.0071268203,0.0026121624,0.001549758,0.00023186766,-0.001018995,-0.018926317,-0.023028012,0.001860369,0.012366675,0.0043585086,0.0132383,-0.0020422135,0.00019846857,-0.0039160675,-0.0067573152,0.01710476,0.015981808,0.0024318323,-0.014119327,-0.0068246312,0.005954478,0.014514297,-0.010288134,0.0041698413
AE0000038298,0.015649697,-0.036847163,0.26676455,0.04965429,0.07030459,0.021457344,-0.006627448,0.027221914,-0.05051958,0.0016431324,-0.0013971482,0.015393846,-0.08464873,0.042644452,0.043762196,-0.03867003,0.044255108,-0.0034714905,0.037999805,0.6797855,0.018683024,-0.04554001,-0.07173319,-0.008579673,-0.032042753,0.049083345,0.0046139583,-0.002166178,0.03396312,-0.12101102,0.033087827,-0.04373793,0.03543218,-0.046555288,-0.6979827,0.028009312,-0.0102629885,0.011402136,0.029286433,0.07947407,-0.078661494,8.6898915e-05,0.003893394,0.038223088,-0.0146278795,-0.060859136,0.043214522,-0.009240631,-0.044675827,-0.022646522,-0.003603436,-0.026015038,-0.0133919455,0.015599132,-0.021370718,-0.015355168,-0.03393457,0.02014802,-0.051337764,-0.044727053,0.02753159,0.011891156,-0.0064782575,0.049919795
AE0000039169,-0.0153764635,-0.013008218,-0.15290587,0.02835678,0.01019106,0.0014101006,-0.013600357,0.015812863,-4.297588e-06,-0.0065972954,0.0122504365,0.018570336,-0.027564354,0.014220804,0.02022434,-0.022533625,0.007276707,-0.014085446,0.021288615,-1.1434232,0.0115032345,-0.011069784,-0.006220918,-0.0036371108,-0.011489698,-0.025038015,-0.0037926808,0.017021695,0.010028878,-0.0142734125,1.2930483e-05,-0.0061974237,-0.0040098913,-0.005896721,-0.7344309,-0.023582242,0.02891033,-0.008837562,-0.019709446,0.020525036,-0.0026177075,-0.0071451482,0.011665575,0.005395543,0.0009496743,-0.006434938,-0.015383834,-0.0046113394,0.019943409,-0.0015373868,0.010998867,-0.008511379,0.0011246428,-0.0021605967,-0.005141996,0.021165237,0.021029394,0.007902902,-0.026669666,-0.0012193844,0.009519948,0.0015706345,-0.019640988,0.0067568934
AE0000040199,-0.021091184,0.0004521571,-0.1125064,0.029245123,-0.0020716274,0.014158867,-0.01122275,-0.0045672394,-0.0074057095,-0.014091939,-0.0048317923,0.033383463,-0.0050918385,0.00039200485,0.017211216,-0.014201507,0.0046945848,0.00035025133,0.016429827,-0.7989695,0.018542677,-0.014689018,0.00033900514,-0.028117722,-0.02029919,-0.0064613335,-0.0006171018,0.005063195,0.011502927,-0.71149117,-0.0035708807,-0.014567761,-0.013573004,0.011831373,-0.088646725,-0.008019183,0.013725573,0.003339909,-0.00953234,-0.0034898762,7.393584e-05,0.0026744977,0.0063070357,0.021831477,0.009183618,0.00025974773,-0.0010357536,-0.0034865402,0.0110759735,0.016953837,0.0054701306,-0.011145518,0.002825603,0.00669205,0.011737015,0.01850047,-0.00663542,-0.007930677,0.0052385535,-0.018391836,0.0108077545,-0.0023139715,-0.003876578,-0.0077703637
AE0000048029,0.032342054,-0.010544175,-0.41133985,0.02804998,0.09844082,-0.009159777,-0.024353325,0.044150922,-0.043980036,0.0014735088,0.02381636,0.0463322,-0.09062507,0.045970555,0.055471398,-0.06614503,0.055095665,-0.005386391,0.031937618,1.1773225,0.019750662,-0.059021585,-0.08942086,-0.015477913,-0.047882676,0.034394946,-0.02773887,0.012593497,0.062799096,0.022367455,0.03226808,-0.037023958,0.041308384,-0.090525255,-1.043098,0.03253276,0.026859945,0.01432153,0.030873585,0.08847172,-0.1040125,-0.0071852794,0.0016759597,0.03578999,-0.022826105,-0.08384065,0.004672792,0.005970124,-0.03663835,-0.026267648,-0.011039294,-0.026768476,-0.0076024793,0.010960221,-0.030107189,-0.008384809,-0.015125588,0.04445852,-0.08012254,-0.09093858,0.039331697,-0.010466877,-0.010905273,0.08072545
AE0000059691,-0.023030413,-0.0030704886,-0.61053354,0.03298844,-0.001163465,0.014513545,-0.03197883,-0.013838708,0.015140074,0.008400673,-0.021798335,0.019164957,0.0052824207,-0.022041216,-0.030493814,0.005992748,0.020291084,0.0732035,0.02024335,0.08271071,-0.012936592,0.03380891,0.00051884353,-0.05330977,-0.017241914,-0.03566492,-0.0027633123,-0.013568055,-0.0060948376,-0.17011821,-0.054327928,-0.05250267,0.0050188117,0.062146313,-0.8432695,-0.017121483,-0.009726256,-0.039168045,0.0010278001,-0.021881415,0.03682616,0.015849892,-0.005624078,-0.016186738,0.038247522,-0.064744614,-0.020514755,0.051404167,0.027411617,-0.001648963,0.005709525,-0.015266628,-0.0009123683,0.013045562,0.0362794,0.016584955,0.0021275952,-0.03340178,0.029146524,0.011828043,-0.0010422543,0.020648748,0.030960511,-0.015991393
AE0000116198,-0.014343668,0.003874708,-0.31544408,0.03368169,-7.293746e-05,0.0014939904,-0.006246358,-0.009012029,-0.006864097,-0.015637398,-0.00075092376,0.046576794,-0.008883428,0.009520464,0.008118223,-0.0310633,-0.003613811,-0.0076812026,0.014602,-0.8317018,0.0103851585,-0.020942997,0.0045808516,0.002265446,-0.01586203,-0.0026000813,-0.0015132166,-0.00035112537,0.0069454983,-0.7021385,-0.0032018423,-0.027685283,-0.042394876,-0.011766143,-0.044113785,-0.016140698,0.020135036,-0.011752326,-0.016060576,-0.0036906172,-0.000434367,-0.009128371,0.016571186,0.01981652,-0.0073638386,-0.004938112,-0.0023447871,0.01898462,0.009469621,0.015027843,0.008590177,-0.010919798,-0.0012689233,0.012255322,0.015516233,0.019868381,0.015070073,-0.009433836,-0.0053882375,-0.01261751,0.0013214014,0.013871543,-0.012813412,-0.014900965
