conglomerate_id,size,rep_firm_id,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11,g_12,g_13,g_14,g_15,g_16,g_17,g_18,g_19,g_20,g_21,g_22,g_23,g_24,g_25,g_26,g_27,g_28,g_29,g_30,g_31,g_32,g_33,g_34,g_35,g_36,g_37,g_38,g_39,g_40,g_41,g_42,g_43,g_44,g_45,g_46,g_47,g_48,g_49,g_50,g_51,g_52,g_53,g_54,g_55,g_56,g_57,g_58,g_59,g_60,g_61,g_62,g_63
10,2,AE0000619307,-1.2397012,-0.9748961,-2.1139383,-1.3227698,-1.100427,0.27468836,-0.052699335,-1.4721835,-1.8069724,-1.3195764,1.4890372,1.0888915,-0.85715276,1.817497,1.5289347,1.5912268,1.1342106,-1.4044858,-1.353464,-1.1764784,1.4524022,-1.3187805,-1.8135726,1.4844048,-2.1095307,-1.6579723,1.6568187,1.5022409,1.3395203,-1.3140485,1.8008256,-1.3463414,-1.6911572,-1.7332602,-1.5846647,-1.9858401,-0.7495892,-0.93921465,-1.7192969,-1.1717083,-1.8999331,-1.4634947,1.7548139,1.1941075,-0.8875847,-1.6424803,-0.1723867,-1.6075547,-1.8796948,-1.1462976,1.5077857,1.1863858,1.4634534,2.0648298,1.6734879,-0.7546156,-1.8577219,-0.7123772,1.668858,2.054857,-1.3672183,-1.8119812,-2.1383867,-1.5000515
11,2,AE0000622481,0.023834229,-0.019775815,0.03703747,0.051021796,0.024759829,-0.008548364,-0.033575848,0.06761314,-0.024497584,0.014713652,-0.096221395,-0.03266976,0.037755936,-0.058156755,0.01706069,-0.112306334,-0.008321166,-0.035598084,0.088280596,0.065048635,-0.041173257,-0.0033735782,-0.045484215,0.0016668141,0.04531119,0.05732011,-0.07832613,-0.043571733,-0.038122043,0.05723186,0.0633302,0.0052427053,0.092993066,0.03264535,0.10005785,0.02080679,0.023300119,-5.748868e-05,0.06363672,0.059088483,0.067856535,0.033174433,0.004342869,-0.08238646,0.013967391,0.07762491,0.0420513,0.086395994,-0.011857866,0.0055867434,-0.0015319064,-0.062158465,0.05318623,-0.073683836,0.06849181,0.024287157,0.02635236,0.04958643,0.010117397,-0.015440699,0.11002272,0.08142721,0.049554754,0.04293594
12,1,AE0000651771,0.24246709,-0.22824718,0.21212254,-0.12039992,0.31483895,-0.291591,-0.3074618,0.34172505,-0.3295748,-0.25375557,-0.16918853,-0.28873155,0.24140075,-0.121714726,0.1916508,-0.3063097,0.20737372,-0.3371409,0.30695945,0.31075335,0.1842996,-0.22593252,-0.37288436,0.3167261,0.2305328,0.25104848,-0.3182381,-0.081468694,-0.29840818,-0.10895933,0.41623443,-0.27012923,0.32441634,0.19428112,0.16610989,0.17671326,-0.15257932,0.29434267,0.3231464,0.27959135,0.25600895,0.24224584,-0.12314825,-0.31125432,-0.0945331,0.32232276,-0.20062906,0.2540141,0.027284877,-0.22065447,0.15864249,-0.3069424,0.30196103,-0.27437326,0.36197823,0.279468,0.15633482,0.36950558,-0.041677784,-0.10380131,0.34733582,0.17639856,0.22686438,0.077942
13,2,AE0001132819,0.2650397,-0.24921507,0.2318946,-0.13182038,0.34412736,-0.318524,-0.33570963,0.37308437,-0.36022404,-0.27695492,-0.18445817,-0.31522813,0.26415893,-0.1331755,0.20911892,-0.3344702,0.22635372,-0.36822063,0.33508167,0.3394901,0.2010947,-0.24664375,-0.40681556,0.34590238,0.25163236,0.27447245,-0.34746045,-0.089036286,-0.3259519,-0.11873032,0.45466566,-0.29488188,0.3544074,0.21199147,0.18143965,0.19317311,-0.16645831,0.32147962,0.35314935,0.3056705,0.27972296,0.26473173,-0.1343238,-0.3399522,-0.103047855,0.35200968,-0.21901628,0.2778002,0.029596128,-0.24091649,0.1732792,-0.33560738,0.32968715,-0.29962406,0.39478847,0.30482864,0.17090811,0.4036997,-0.045729868,-0.1135029,0.3794129,0.19244717,0.24772981,0.085206345
14,2,AE0001336319,0.10056244,-0.09433551,0.094218165,-0.024928704,0.12822357,-0.11363998,-0.12976886,0.1561178,-0.13369687,-0.09087007,-0.10237004,-0.122383595,0.10486525,-0.068140276,0.079734206,-0.15993975,0.075649634,-0.14155623,0.15107802,0.14280334,0.054264013,-0.08718128,-0.16005963,0.12066637,0.10534254,0.11669943,-0.15132217,-0.04767823,-0.12778154,-0.019673605,0.18216029,-0.10064912,0.15887201,0.08679919,0.10183265,0.07460751,-0.04918848,0.11145644,0.14663637,0.12813868,0.123101376,0.104282305,-0.04539802,-0.14995776,-0.03086984,0.15237483,-0.05988883,0.1289205,0.006230642,-0.081599385,0.059460707,-0.13953139,0.13535766,-0.13271877,0.16517773,0.11632027,0.06906819,0.15893233,-0.01131843,-0.044994503,0.17425126,0.09905308,0.105343685,0.04603988
15,2,AE0001361741,0.05081988,-0.046570964,0.055402245,0.01784496,0.061828807,-0.04786729,-0.06743764,0.095590845,-0.06377703,-0.027073666,-0.09041752,-0.064161144,0.05957405,-0.056623474,0.039677173,-0.12068655,0.024598934,-0.072918504,0.1046569,0.08892598,-0.00093087554,-0.035183348,-0.08564816,0.046971075,0.06438923,0.07467967,-0.09941392,-0.04125231,-0.06896512,0.0225767,0.10306807,-0.03578736,0.10988365,0.05063872,0.09191856,0.039354566,-0.006601393,0.042517677,0.089522555,0.079961695,0.08287047,0.057256192,-0.015197571,-0.10093225,-0.004569363,0.09935997,-0.00066812336,0.09467875,-0.0037145521,-0.028265297,0.021876432,-0.08587754,0.07998404,-0.08978116,0.09991265,0.057670318,0.040188074,0.086845025,0.0012442861,-0.02523884,0.124810964,0.08119718,0.066540636,0.040268824
16,5,AE0001578875,0.26372132,-0.24799038,0.23073976,-0.13115335,0.3424167,-0.31695092,-0.33405975,0.37125275,-0.3584339,-0.27559993,-0.18356632,-0.31368053,0.2628297,-0.13250612,0.20809865,-0.33282542,0.22524515,-0.36640534,0.3334391,0.33781165,0.20011374,-0.24543406,-0.4048337,0.3441983,0.25039998,0.2731043,-0.34575364,-0.08859428,-0.32434314,-0.11815962,0.452421,-0.29343614,0.3526557,0.21095707,0.18054429,0.19221173,-0.16564767,0.31989464,0.35139698,0.3041473,0.2783379,0.2634184,-0.13367108,-0.33827603,-0.10255053,0.35027575,-0.21794233,0.27641094,0.029461134,-0.23973304,0.1724243,-0.33393314,0.32806775,-0.29814923,0.3928721,0.3033474,0.17005692,0.4017025,-0.045493197,-0.11293625,0.37753937,0.19150981,0.2465111,0.08478206
17,1,AE0043345112,0.22721308,-0.21407764,0.19876112,-0.11268228,0.29504663,-0.2733904,-0.2883727,0.32053328,-0.30886286,-0.23807806,-0.15886971,-0.27082586,0.22602138,-0.11396984,0.1798463,-0.2872796,0.19454755,-0.31613803,0.2879552,0.29133382,0.17294993,-0.21193644,-0.3499546,0.29700953,0.21627428,0.23521921,-0.29849043,-0.07635472,-0.27979487,-0.10235635,0.39026362,-0.25340205,0.30414918,0.18231294,0.15575044,0.16559014,-0.14320028,0.27600425,0.30287123,0.26196775,0.23998363,0.22705047,-0.115596116,-0.2918611,-0.08877906,0.30226114,-0.18820345,0.23794007,0.025722995,-0.20696196,0.1487514,-0.28757137,0.28322446,-0.25730944,0.33980593,0.26232997,0.14648658,0.34639812,-0.038939495,-0.09724523,0.32565898,0.16555333,0.21276408,0.073032945
18,1,AE0043352228,0.2199992,-0.20737658,0.19244225,-0.10903246,0.28568643,-0.264783,-0.27934507,0.3105113,-0.2990678,-0.23066385,-0.15398976,-0.26235792,0.21874818,-0.11030714,0.17426373,-0.2782799,0.18848181,-0.30620536,0.2789677,0.28214994,0.16758244,-0.20531742,-0.33911067,0.2876852,0.20953116,0.22773324,-0.28915137,-0.073936224,-0.2709923,-0.09923368,0.37798154,-0.24549145,0.29456446,0.17665295,0.15085126,0.16032979,-0.13876474,0.26733166,0.2932827,0.25363323,0.23240498,0.2198643,-0.11202457,-0.28268963,-0.08605787,0.2927736,-0.18232715,0.23033835,0.024984352,-0.2004865,0.1440737,-0.27841043,0.27436358,-0.24923964,0.32932025,0.25422505,0.14182915,0.33547017,-0.037644506,-0.09414474,0.3154076,0.16042443,0.20609578,0.07071136
19,2,AE0043376589,0.26704538,-0.25107816,0.23365141,-0.13283513,0.34672976,-0.3209171,-0.33821955,0.37587076,-0.36294734,-0.2790163,-0.18581495,-0.31758246,0.26618108,-0.13419384,0.21067102,-0.3369724,0.22804016,-0.3709822,0.33758044,0.34204346,0.20258701,-0.24848402,-0.40983045,0.34849483,0.25350714,0.27655375,-0.35005698,-0.08970869,-0.32839927,-0.11959851,0.45808044,-0.29708126,0.35707223,0.21356511,0.18280177,0.19463564,-0.16769151,0.32389086,0.35581523,0.30798775,0.28183004,0.2667297,-0.13531679,-0.34250212,-0.10380442,0.3546475,-0.22065005,0.2799137,0.029801492,-0.24271685,0.17457972,-0.33815438,0.33215073,-0.3018677,0.39770377,0.30708206,0.172203,0.40673798,-0.04608991,-0.114364915,0.38226306,0.19387315,0.24958378,0.08585181
